STUDENTID,COURSENAMEENG,SUBGROUP,MAINGROUP
6317850,Individual Software Programming and Unit Testing Workshop,Major Required Course,Specific Required Course
6317850,Introduction to Economics,Social Science Course,General Education Course 
6317850,Probability and Statistics,Core Course,Specific Required Course
6317850,Object-Oriented Analysis and Design,Major Required Course,Specific Required Course
6317850,English 2,Language Course,General Education Course 
6317850,Team Software Programming and System Testing Workshop,Major Required Course,Specific Required Course
6317850,Software Architecture,Major Required Course,Specific Required Course
6317850,Database Systems,Major Required Course,Specific Required Course
6317850,Operating Systems,Major Required Course,Specific Required Course
6317850,Data Structures and Algorithms,Major Required Course,Specific Required Course
6317850,Software Testing,Major Required Course,Specific Required Course
6317850,English 3,Language Course,General Education Course 
6317850,Enterprise Software Programming and Integration Testing Workshop,Major Required Course,Specific Required Course
6317850,Thai Traditional Food Recipes,Major Elective Course,Major Elective Course
6317850,Seminar in Software Engineering,Major Required Course,Specific Required Course
6310911,Chinese 1,Language Course,General Education Course 
6317850,Software Process and Quality Assurance,Major Required Course,Specific Required Course
6317850,Management Information Systems,Major Required Course,Specific Required Course
6317850,Web Programming,Major Required Course,Specific Required Course
6317850,ASEAN Studies,Social Science Course,General Education Course 
6317850,Senior Project 1,Major Required Course,Specific Required Course
6317850,Science for Life,Science and Mathematics Course,General Education Course 
6317850,Software Construction and Evolution,Major Required Course,Specific Required Course
6317850,Data Structures and Algorithms,Major Required Course,Specific Required Course
6317850,General Psychology,Humanities Course,General Education Course 
6317850,Software Project and Risk Management,Major Required Course,Specific Required Course
6317850,Software Configuration Management,Major Required Course,Specific Required Course
6317850,Enterprise Application Architecture,Major Required Course,Specific Required Course
6317850,Senior Project 2,Major Required Course,Specific Required Course
6317850,Laws and Ethics for Information Technology,Major Required Course,Specific Required Course
6317850,Principles of Crop Produces,Major Elective Course,Major Elective Course
6317850,Software Engineering Case Studies,Major Required Course,Specific Required Course
6317850,Co-operative Education,Major Required Course,Specific Required Course
6317950,Computer Programming,Major Required Course,Specific Required Course
6317950,Selected Topics in Software Engineering 1,Major Elective Course,Specific Required Course
6317950,Basic Information Technology,Science and Mathematics Course,General Education Course 
6317950,Mathematics for Information Technology 1,Core Course,Specific Required Course
6317950,Object-Oriented Programming,Major Required Course,Specific Required Course
6317950,Selected Topics in Software Engineering 2,Major Elective Course,Specific Required Course
6317950,Introduction to Software Engineering,Major Required Course,Specific Required Course
6317950,Intensive English,Major Elective Course,Major Elective Course
6317950,Thai Language Skills,Language Course,General Education Course 
6317950,Mathematics for Information Technology 2,Core Course,Specific Required Course
6317950,Human and Computer Interaction,Major Required Course,Specific Required Course
6317950,Individual Software Programming and Unit Testing Workshop,Major Required Course,Specific Required Course
6317950,English 2,Language Course,General Education Course 
6317950,Introduction to Economics,Social Science Course,General Education Course 
6317950,Software Requirement Specification and Management,Major Required Course,Specific Required Course
6317950,Object-Oriented Analysis and Design,Major Required Course,Specific Required Course
6317950,Probability and Statistics,Core Course,Specific Required Course
6317950,Computer Architecture,Major Required Course,Specific Required Course
6317950,Software Architecture,Major Required Course,Specific Required Course
6317950,Database Systems,Major Required Course,Specific Required Course
6317950,English 2,Language Course,General Education Course 
